,BASE_DATE,ADM_NM,ADM_CD,lat,lng
0,20230701,사직동,11010530,37.57359886654368,126.97001718922209
1,20230701,삼청동,11010540,37.58457399123893,126.98199698507928
2,20230701,부암동,11010550,37.599155550545774,126.96280219095046
3,20230701,평창동,11010560,37.608380694918885,126.96592865201013
4,20230701,한남동,11030740,37.53613113350724,127.00470146335914
5,20230701,왕십리2동,11040520,37.561754976295035,127.02838406319522
6,20230701,마장동,11040540,37.566069041406685,127.04148352550474
7,20230701,중림동,11020680,37.5567179607754,126.96452394535899
8,20230701,옥수동,11040730,37.54260877425588,127.01703627916746
9,20230701,장충동,11020580,37.55786876221122,127.00381848131059
10,20230701,광희동,11020590,37.56481135528039,127.00325869126962
11,20230701,안기동,37040590,36.58996424808848,128.7139499345766
12,20230701,옥동,37040600,36.56347730612605,128.69509066460287
13,20230701,송하동,37040610,36.577058695612976,128.6926429998313
14,20230701,운주면,35510380,36.07690510969684,127.30286103446758
15,20230701,주삼동,36020680,34.79302451461538,127.65810747371121
16,20230701,사근동,11040550,37.560099459467146,127.0450885290334
17,20230701,태화동,37040560,36.563974570812725,128.7075424138763
18,20230701,평화동,37040580,36.570633563584046,128.71256492345054
19,20230701,동상면,35510400,35.94684965129637,127.3002057295469
20,20230701,법성면,36640370,35.35596144582709,126.45961389963144
21,20230701,후암동,11030510,37.54955644916689,126.9784207212251
22,20230701,용산2가동,11030520,37.53975785132588,126.9851664687165
23,20230701,남영동,11030530,37.54612142917977,126.97424700837028
24,20230701,원효로2동,11030570,37.53502437164686,126.95332612425972
25,20230701,효창동,11030580,37.54387849170367,126.96034104594898
26,20230701,용문동,11030590,37.53790989262844,126.95897787264943
27,20230701,무풍면,35530310,35.93643477744953,127.85379127340913
28,20230701,설천면,35530320,35.97305603591435,127.7843724665793
29,20230701,동화면,36650330,35.25816418452651,126.71878299405536
30,20230701,지사면,35550410,35.575383459708824,127.35882052536564
31,20230701,순창읍,35560110,35.369831579533184,127.13690873638437
32,20230701,인계면,35560310,35.41291228785436,127.16018958801588
33,20230701,동계면,35560320,35.457288798243574,127.24536016249166
34,20230701,적성면,35560330,35.42681323210214,127.21029780558717
35,20230701,유등면,35560340,35.373018443752095,127.18302250433727
36,20230701,지산면,36670350,34.429431796240756,126.11910168003654
37,20230701,조도면,36670360,34.292079595713545,126.05633503271108
38,20230701,지도읍,36680110,35.06000147999918,126.21202617314212
39,20230701,압해읍,36680120,34.864724984371485,126.30788201886617
40,20230701,증도면,36680310,34.98675945880962,126.13331727981004
41,20230701,이태원1동,11030650,37.53416677033379,126.99359592888985
42,20230701,해리면,35570360,35.478310677193676,126.50715586703248
43,20230701,성송면,35570370,35.36653035015305,126.63206644427713
44,20230701,대산면,35570380,35.33590043948221,126.5852473142427
45,20230701,심원면,35570390,35.52144104035918,126.54344140752022
46,20230701,두호동,37012640,36.06284756847808,129.3813418245946
47,20230701,장량동,37012650,36.07949933466705,129.38548304584623
48,20230701,환여동,37012660,36.072687256361775,129.4062626438411
49,20230701,중앙동,37012670,36.04777590742917,129.36945377609769
50,20230701,죽도동,37012680,36.02563954638756,129.36056072206287
51,20230701,상서면,35580390,35.675688501455326,126.65841205983503
52,20230701,하서면,35580400,35.715710949312424,126.62702060479127
53,20230701,줄포면,35580410,35.590115170303186,126.69415088320326
54,20230701,위도면,35580420,35.59669350980921,126.27655780248404
55,20230701,문무대왕면,37020390,35.778538953885445,129.43630694543435
56,20230701,금호1가동,11040590,37.553776630354015,127.02451709356134
57,20230701,금호4가동,11040620,37.54604771498592,127.02249788727276
58,20230701,성수1가1동,11040650,37.541240062992166,127.0458208835888
59,20230701,녹산동,21120560,35.127458489620544,128.8608325431476
60,20230701,다압면,36060360,35.11199007146476,127.66986016575198
61,20230701,골약동,36060510,34.92443161190537,127.65537632544337
62,20230701,중마동,36060530,34.94047008901253,127.6985199404621
63,20230701,행신3동,31101514,37.62551398330975,126.83975693218295
64,20230701,성수2가1동,11040670,37.53671283492337,127.0540311885479
65,20230701,송정동,11040690,37.552683416587264,127.06094732062898
66,20230701,용답동,11040700,37.56348343803995,127.05230443027777
67,20230701,조마면,37030390,36.01570556175562,128.11487208302006
68,20230701,구성면,37030400,36.04102176699082,128.03931655026284
69,20230701,어모면,37030350,36.199747187892875,128.10291256435258
70,20230701,봉산면,37030360,36.16149097577152,128.0366972134684
71,20230701,녹전면,37040430,36.7431436795433,128.76838008966888
72,20230701,중구동,37040510,36.566654636505,128.733274841202
73,20230701,명륜동,37040520,36.58399222153059,128.73842595102363
74,20230701,용상동,37040540,36.558760670380245,128.79160512674775
75,20230701,문곡소도동,32050620,37.11733355892332,128.93508089710247
76,20230701,영랑동,32060510,38.219370637009185,128.58495216026532
77,20230701,동명동,32060520,38.21088226523716,128.59595641278972
78,20230701,금호동,32060540,38.20783931885706,128.58354497551255
79,20230701,무을면,37050310,36.261333716526224,128.19261599494172
80,20230701,옥성면,37050320,36.292923805908934,128.2537207822682
81,20230701,서화면,32590340,38.281421370031055,128.20677934335163
82,20230701,상남면,32590350,37.880282687075365,128.26401275631002
83,20230701,간성읍,32600110,38.36250730520078,128.4443666902034
84,20230701,정릉4동,11080650,37.61807939385875,127.0033558234216
85,20230701,길음1동,11080660,37.60811074059498,127.01839591484149
86,20230701,웅남동,38112570,35.177663779488356,128.6166197766261
87,20230701,성북동,11080810,37.59398922531893,126.99879408923552
88,20230701,삼선동,11080820,37.586573296666444,127.01283758119364
89,20230701,동선동,11080830,37.59400569805517,127.01760251577542
90,20230701,정곡면,38510360,35.37780425242591,128.33927592691768
91,20230701,지정면,38510370,35.393581002094564,128.37773848370523
92,20230701,낙서면,38510380,35.489921669464884,128.3757984042609
93,20230701,부림면,38510390,35.47632863655683,128.33598502544524
94,20230701,성산면,38530320,35.62729988450601,128.50335419661764
95,20230701,대합면,38530330,35.597866821560785,128.4396011572405
96,20230701,이방면,38530340,35.57173849677759,128.39721237785344
97,20230701,유어면,38530350,35.52267274546673,128.42753716585986
98,20230701,이월면,33550350,36.915334370113776,127.4476132172164
99,20230701,광혜원면,33550360,36.971733356664224,127.43479600619918
100,20230701,괴산읍,33560110,36.82366597276829,127.79826708450865
101,20230701,감물면,33560310,36.84295975030795,127.88066319265704
102,20230701,장연면,33560320,36.84496694215683,127.92842944818409
103,20230701,연풍면,33560330,36.769680290258336,128.00756688440487
104,20230701,청통면,37070310,35.98830399113089,128.8449554875396
105,20230701,신녕면,37070320,36.05897214713565,128.76217958847508
106,20230701,대가면,38540350,35.02594734494352,128.2787584098296
107,20230701,영현면,38540360,35.04803257069726,128.22153145485984
108,20230701,영오면,38540370,35.10285419632478,128.2290989209263
109,20230701,군위읍,22520111,36.24423259816349,128.57284731053392
110,20230701,소보면,22520311,36.26478113536676,128.4827291196069
111,20230701,효령면,22520312,36.13952718965634,128.6095766508623
112,20230701,대야동,31160630,37.33069117004056,126.90537886026289
113,20230701,송부동,31160640,37.32288267737388,126.93022742899822
114,20230701,창선면,38550390,34.87110525271627,128.03233510017688
115,20230701,하동읍,38560110,35.07908124034984,127.7496793415541
116,20230701,화개면,38560310,35.23739523813993,127.64380301264222
117,20230701,악양면,38560320,35.158885960951025,127.7110973767715
118,20230701,휘경1동,11060720,37.59257630410461,127.06210326586898
119,20230701,금서면,38570340,35.42650907723115,127.8131382096047
120,20230701,삼장면,38570350,35.32943357494724,127.82212703335327
121,20230701,시천면,38570360,35.28184887731587,127.80713360168696
122,20230701,이문1동,11060890,37.59705328153924,127.06186787511874
123,20230701,이문2동,11060900,37.60294031110722,127.06610172035352
124,20230701,답십리1동,11060910,37.572151313068474,127.05069972596597
125,20230701,남상면,38590370,35.6268853639874,127.91292029208925
126,20230701,남하면,38590380,35.67715813005433,127.97902476880337
127,20230701,신원면,38590390,35.561889014995195,127.92738976894167
128,20230701,가조면,38590400,35.70468120628609,128.0147981103515
129,20230701,가북면,38590410,35.78015949459183,128.00989112412407
130,20230701,합천읍,38600110,35.607719637865856,128.13906620427994
131,20230701,문성동,34011520,36.81194233699923,127.15277386415733
132,20230701,쌍백면,38600420,35.45005653835163,128.14932680677262
133,20230701,삼가면,38600430,35.408860931452175,128.11365052750165
134,20230701,사천읍,38060110,35.08690852346308,128.10081643552752
135,20230701,정동면,38060310,35.052531008323164,128.12354504456232
136,20230701,사남면,38060320,35.026515248410035,128.1030169324946
137,20230701,용현면,38060330,35.0188085369337,128.0467513920185
138,20230701,우도면,39010330,33.50901858836039,126.95738490457515
139,20230701,상봉1동,11070590,37.6007212119944,127.08775274439978
140,20230701,평산동,38100560,35.382113433510064,129.13891139656485
141,20230701,덕계동,38100570,35.36989671557742,129.15865437186423
142,20230701,중앙동,38100580,35.34227554365337,129.0530824461752
143,20230701,일도2동,39010520,33.506435160314005,126.54187166071696
144,20230701,이도1동,39010530,33.5064018397695,126.52722519100226
145,20230701,중화1동,11070610,37.60148454533588,127.08382018612961
146,20230701,이도2동,39010540,33.490543081538725,126.53430425193793
147,20230701,의령읍,38510110,35.31540144859204,128.26448636205905
148,20230701,가례면,38510310,35.34238687758691,128.22820305718068
149,20230701,문화동,33020570,36.969389573570226,127.92499292479641
150,20230701,호암·직동,33020580,36.95337807700141,127.93888292815792
151,20230701,달천동,33020600,36.953213228917406,127.89670452998425
152,20230701,봉방동,33020610,36.97587300281331,127.91266757136167
153,20230701,칠금·금릉동,33020620,36.98966086812272,127.91671379578041
154,20230701,외도동,39010670,33.491085865386765,126.4340735629564
155,20230701,이호동,39010680,33.49622789214694,126.45874221498953
156,20230701,도두동,39010690,33.50516928746212,126.47642592140808
157,20230701,서면,36030380,35.01855785881846,127.49278690911476
158,20230701,황전면,36030390,35.119516038315275,127.45324993401697
159,20230701,신내1동,11070690,37.61064058437105,127.10153507074409
160,20230701,서홍동,39020580,33.28113893254228,126.54420417493722
161,20230701,대륜동,39020590,33.24911776018454,126.52176480051116
162,20230701,동탄7동,31240691,37.17005497858543,127.1119501545914
163,20230701,월곡2동,11080720,37.604667239008585,127.04554174163022
164,20230701,자양3동,11050660,37.534441996700046,127.0719992495112
165,20230701,구의2동,11050610,37.550722439515184,127.09373517804829
166,20230701,수유1동,11090630,37.62989299238516,127.01441398889938
167,20230701,삼양동,11090690,37.625027262168544,127.01702520055838
168,20230701,송천동,11090720,37.61822381656822,127.0235676589394
169,20230701,삼각산동,11090730,37.6167492224141,127.01716557799774
170,20230701,우이동,11090740,37.654900831773396,127.00520153495081
171,20230701,도평동,22020620,35.91348848438734,128.67242467752914
172,20230701,월계2동,11110520,37.63511443466365,127.05124662870904
173,20230701,일운면,38090310,34.808351844882544,128.70170777589817
174,20230701,정릉1동,11080620,37.60536353366316,127.01679810405982
175,20230701,동면,38100310,35.32401856436571,129.07715038278138
176,20230701,원동면,38100320,35.425748804686116,128.9574777477947
177,20230701,상북면,38100330,35.40502359522602,129.0546199842409
178,20230701,하북면,38100340,35.463422623545206,129.08325960427953
179,20230701,삼성동,38100520,35.36554028449382,129.06058867934053
180,20230701,강서동,38100530,35.37811677708164,129.01636423722843
181,20230701,서창동,38100540,35.4193493280943,129.18400011735253
182,20230701,소주동,38100550,35.40805535779675,129.1508398668172
183,20230701,본리동,22070560,35.840213537643606,128.53569807520344
184,20230701,무악동,11010570,37.57637787071238,126.95921561387966
185,20230701,종로5·6가동,11010630,37.57375291630151,127.00445239950378
186,20230701,이화동,11010640,37.57862881621155,127.00338100646836
187,20230701,창신1동,11010670,37.57295210011698,127.01360230066177
188,20230701,창신2동,11010680,37.57533813368383,127.01060888476248
189,20230701,을지로동,11020600,37.566209895643,126.99683221885107
190,20230701,자양동,25010600,36.33537344893011,127.44683019610909
191,20230701,가양1동,25010630,36.34095033037482,127.44061261843946
192,20230701,지례면,37030410,35.96423356467266,128.04898651313584
193,20230701,부항면,37030420,35.99402680747712,127.94139248787805
194,20230701,대덕면,37030430,35.90958763439019,127.94434626635241
195,20230701,증산면,37030440,35.89067452891982,128.02841454451215
196,20230701,양금동,37030550,36.10086385020408,128.11307438993654
197,20230701,대신동,37030560,36.14789169685357,128.11517591224802
198,20230701,대곡동,37030580,36.11976809877655,128.085242764317
199,20230701,지좌동,37030590,36.117034843153185,128.1469103839495
200,20230701,수색동,11120680,37.58651219198786,126.8928365603187
201,20230701,진관동,11120710,37.64393522575624,126.93032389528507
202,20230701,불광2동,11120720,37.622978790706256,126.92825323161752
203,20230701,응암3동,11120730,37.586397727868246,126.91822006797203
204,20230701,천연동,11130520,37.56988075436025,126.9588458650397
205,20230701,하계2동,11110590,37.63456309004799,127.06499168522771
206,20230701,홍은2동,11130680,37.58665509259944,126.93111452829855
207,20230701,남가좌1동,11130690,37.57226232953106,126.91494526631375
208,20230701,신천1·2동,22020560,35.87293589528709,128.61523196220034
209,20230701,염리동,11140610,37.54977636190546,126.94770479639524
210,20230701,연남동,11140710,37.56247367880289,126.92106160707829
211,20230701,성산1동,11140720,37.56157515969994,126.91404757673148
212,20230701,상계8동,11110720,37.66717435617581,127.05276731301495
213,20230701,상계3·4동,11110760,37.673806753787915,127.08259045512293
214,20230701,신정3동,11150660,37.51393823878273,126.84283279365823
215,20230701,논현2동,11230530,37.51484333931557,127.03499723995296
216,20230701,가양1동,11160640,37.569567616872106,126.83120113724291
217,20230701,발산1동,11160670,37.55013241844988,126.82441740579524
218,20230701,공항동,11160690,37.55506679069246,126.79251004867484
219,20230701,방화1동,11160700,37.57038267804519,126.8141828473312
220,20230701,방화2동,11160710,37.58137525315807,126.80199116270691
221,20230701,방화3동,11160720,37.58012534780352,126.81614007853246
222,20230701,대치1동,11230600,37.49439608489972,127.05909138397706
223,20230701,신도림동,11170510,37.510217994996154,126.8805172592713
224,20230701,구로1동,11170520,37.49049368812594,126.87486765120305
225,20230701,구로3동,11170540,37.48459209374547,126.89421889541863
226,20230701,구로4동,11170550,37.49086592838487,126.88967946138564
227,20230701,고척1동,11170610,37.50190682018516,126.86266874244858
228,20230701,고척2동,11170620,37.504811171972754,126.85484187972003
229,20230701,시흥1동,11180570,37.45221604449557,126.89957834799846
230,20230701,노은1동,25040590,36.369597511746164,127.30964269155908
231,20230701,북가좌2동,11130720,37.58161025250987,126.91594250798417
232,20230701,충현동,11130730,37.56330930297455,126.95875245706537
233,20230701,북아현동,11130740,37.55989125615401,126.955791527092
234,20230701,신촌동,11130750,37.562894696416755,126.94001513712195
235,20230701,시흥5동,11180610,37.44981829477197,126.91140211830285
236,20230701,목4동,11150540,37.53556949630129,126.86749969928297
237,20230701,당산2동,11190560,37.53482263153825,126.90155608189626
238,20230701,양평1동,11190610,37.52554895136171,126.88716762459975
239,20230701,양평2동,11190620,37.54054246533206,126.89280704819356
240,20230701,신길1동,11190630,37.5115235072436,126.91873073734327
241,20230701,신길6동,11190680,37.49944184173277,126.91359428812282
242,20230701,신길7동,11190690,37.50706406183467,126.92043097427718
243,20230701,망원2동,11140700,37.55890663924063,126.90096777546786
244,20230701,대림3동,11190720,37.49987335223083,126.89673587347477
245,20230701,영등포본동,11190730,37.51282781478737,126.9069443098025
246,20230701,영등포동,11190740,37.52232922568503,126.90696912099945
247,20230701,도림동,11190750,37.50954785753184,126.90301362026118
248,20230701,문래동,11190760,37.51640744265691,126.89263225563333
249,20230701,노량진2동,11200520,37.51017229942418,126.93825073350146
250,20230701,상도1동,11200530,37.50024064030519,126.95237371262978
251,20230701,상도2동,11200540,37.50381950461976,126.94245586965626
252,20230701,상도3동,11200550,37.4982433454541,126.93268352197255
253,20230701,상도4동,11200560,37.49830880587416,126.93994600517351
254,20230701,대방동,11200680,37.50578310634174,126.92834353045362
255,20230701,신대방2동,11200700,37.49506917868323,126.92383969887311
256,20230701,흑석동,11200710,37.50577817921949,126.96135042321627
257,20230701,노량진1동,11200720,37.50984501782476,126.9476011748424
258,20230701,사당2동,11200730,37.4960696728593,126.97604464779505
259,20230701,보라매동,11210520,37.49065180273967,126.93251143559296
260,20230701,등촌3동,11160540,37.56253978755348,126.84612349872923
261,20230701,송도3동,23040650,37.354945578484084,126.64622597294125
262,20230701,삼성동,11210820,37.463127388684335,126.92985415485
263,20230701,미성동,11210830,37.4741741101679,126.91490537933015
264,20230701,양재1동,11220660,37.46906178729996,127.02486249650515
265,20230701,양재2동,11220670,37.4541614770201,127.04546355975754
266,20230701,내곡동,11220680,37.45056210159115,127.06452002869702
267,20230701,대월면,31210350,37.21517563036609,127.50126824993905
268,20230701,모가면,31210360,37.17584805116947,127.46276353043329
269,20230701,설성면,31210370,37.150411935679145,127.52835219621244
270,20230701,율면,31210380,37.06907216140316,127.54524541324436
271,20230701,세곡동,11230760,37.4700552364711,127.10656447465968
272,20230701,가산동,11180510,37.477345584001505,126.88427537825578
273,20230701,관평동,25040630,36.418415203844454,127.39714238162318
274,20230701,장지동,11240810,37.481770409673075,127.13508438776273
275,20230701,위례동,11240820,37.48053125326299,127.14026661717216
276,20230701,서초2동,11220520,37.48815730931345,127.02757643395248
277,20230701,문경읍,37090110,36.76229840341727,128.1152297477913
278,20230701,가은읍,37090120,36.649205156494304,128.005587770614
279,20230701,영순면,37090310,36.578860531809276,128.2463272772905
280,20230701,산양면,37090320,36.615657382189625,128.25767891397084
281,20230701,호계면,37090330,36.65487608789311,128.20543602591258
282,20230701,서림동,11210660,37.47374751747288,126.93937998000364
283,20230701,신사동,11210680,37.4859324127301,126.91896799778003
284,20230701,초월읍,31250120,37.39335727809988,127.30832226775394
285,20230701,곤지암읍,31250140,37.36198298762235,127.37527834031779
286,20230701,도척면,31250340,37.300994118330046,127.31851930785868
287,20230701,퇴촌면,31250350,37.45667924172793,127.33635744518932
288,20230701,금강송면,37620390,36.936304859581256,129.1990143246056
289,20230701,매화면,37620400,36.879531362249786,129.39863521479754
290,20230701,입장면,34012310,36.9223535115782,127.21338479326664
291,20230701,성정1동,34012510,36.813039322150495,127.14179590712125
292,20230701,신풍면,34020400,36.505786689745015,126.94728617462401
293,20230701,서대신4동,21020570,35.12441240990292,129.01110107014316
294,20230701,생림면,38070350,35.32703857890396,128.85389943369768
295,20230701,상동면,38070360,35.31226836085731,128.91297192354142
296,20230701,대동면,38070370,35.260321223116684,128.9659570513642
297,20230701,동상동,38070510,35.237546847023836,128.8856778663001
298,20230701,회현동,38070520,35.23205687038717,128.87957430975075
299,20230701,부원동,38070530,35.228545075017365,128.8857067933087
300,20230701,상남면,38080360,35.40934091661347,128.7610217788213
301,20230701,초동면,38080370,35.41847037327169,128.68740354681216
302,20230701,무안면,38080380,35.48313817701181,128.65301837043182
303,20230701,청도면,38080390,35.55479548892546,128.62995505581281
304,20230701,내일동,38080510,35.49089802663729,128.77549236078653
305,20230701,내이동,38080520,35.50073711802466,128.7437637992549
306,20230701,교동,38080530,35.505102820466234,128.75647665634207
307,20230701,율곡동,37030620,36.12357607473536,128.1853915387129
308,20230701,풍산읍,37040110,36.59830936667853,128.5767494254712
309,20230701,와룡면,37040310,36.626370079656034,128.77996241722002
310,20230701,북후면,37040320,36.66814438769262,128.6906113501207
311,20230701,서후면,37040330,36.62236985612878,128.66699926072772
312,20230701,풍천면,37040340,36.53431129280899,128.5006466139895
313,20230701,일직면,37040350,36.461492969151685,128.63838270082007
314,20230701,남후면,37040360,36.52453155802705,128.6401212573044
315,20230701,남선면,37040370,36.51224368743976,128.74912994510365
316,20230701,임하면,37040380,36.51965884845023,128.85601269920963
317,20230701,길안면,37040390,36.41887104535427,128.9257739930198
318,20230701,임동면,37040400,36.576378688810955,128.93507366648416
319,20230701,예안면,37040410,36.66863470116143,128.89954827193404
320,20230701,도산면,37040420,36.73379752797865,128.8324573506427
321,20230701,청학1동,21040630,35.09654601611985,129.05808311589152
322,20230701,암남동,21020680,35.06793270698171,129.01771019750663
323,20230701,남부민2동,21020690,35.08470489558948,129.02277070526227
324,20230701,당감2동,21050680,35.158806117824625,129.04208443758455
325,20230701,초량3동,21030530,35.12020585653947,129.04353232791007
326,20230701,반포본동,11220560,37.50317521706034,126.98772420952922
327,20230701,수정2동,21030570,35.13071030135725,129.04095528840304
328,20230701,수정4동,21030590,35.128655135529264,129.0382851639596
329,20230701,당감1동,21050800,35.16565736406528,129.03447389695637
330,20230701,가야1동,21050810,35.15141301430287,129.03867598836743
331,20230701,부전1동,21050820,35.166311405193326,129.059747283045
332,20230701,영선2동,21040550,35.07878435446952,129.0453158135914
333,20230701,동삼1동,21040650,35.07118900311512,129.061134917764
334,20230701,동삼2동,21040660,35.065213485939545,129.0830240886456
335,20230701,신선동,21040680,35.08740358848876,129.04637972668516
336,20230701,봉래2동,21040690,35.09353529399152,129.05072753230564
337,20230701,연지동,21050540,35.17153169250312,129.05265960610546
338,20230701,범천2동,21050840,35.148095185837946,129.04588806740483
339,20230701,수민동,21060510,35.19947002872182,129.08800042206573
340,20230701,복산동,21060520,35.20453926135756,129.08851272512635
341,20230701,대연4동,21070540,35.12703380986677,129.0898238365553
342,20230701,화명2동,21080620,35.24329760410531,129.02561764027118
343,20230701,용호2동,21070580,35.10448636370602,129.12235947119007
344,20230701,용호3동,21070590,35.124048273238856,129.12371046252716
345,20230701,용호4동,21070600,35.103550464228206,129.10789679965558
346,20230701,반여1동,21090700,35.20629411623417,129.12680939834542
347,20230701,오륜동,11240590,37.51463875356141,127.13465813376999
348,20230701,가덕도동,21120580,35.03105459319533,128.83206040178325
349,20230701,명지1동,21120590,35.107528759114906,128.9154304571913
350,20230701,명지2동,21120600,35.08811855007684,128.91483306750573
351,20230701,대연1동,21070700,35.132616445882945,129.08734223201338
352,20230701,우암동,21070710,35.1273694270474,129.07662528670537
353,20230701,평리1동,22030600,35.876450363106045,128.5662106604914
354,20230701,화명1동,21080550,35.23107826147275,129.02063913896995
355,20230701,덕천2동,21080570,35.21316274768491,129.0068670764937
356,20230701,중1동,21090530,35.163831868601065,129.16997378597418
357,20230701,중2동,21090540,35.16052314955698,129.18954356848232
358,20230701,송정동,21090560,35.17465536808046,129.199756691792
359,20230701,상모사곡동,37050670,36.093098865273625,128.35530555929586
360,20230701,임오동,37050690,36.079016830014986,128.3629389447924
361,20230701,범일2동,21030660,35.13758555755006,129.06045617346768
362,20230701,계림동,37080540,36.43726663766816,128.17867682745634
363,20230701,산외면,35040440,35.62191502503615,127.05766180041698
364,20230701,수성동,35040510,35.58459287462569,126.85862891173703
365,20230701,장명동,35040520,35.57049535577285,126.87386103401852
366,20230701,내장상동,35040530,35.52804954832473,126.90060117921757
367,20230701,안평면,37520460,36.38607579597456,128.5875253520774
368,20230701,안사면,37520470,36.451621023247014,128.45932844148243
369,20230701,청송읍,37530110,36.41991751624433,129.0911820003848
370,20230701,부남면,37530320,36.31692586934289,129.11082751378837
371,20230701,현동면,37530330,36.259774784682776,129.0282244541619
372,20230701,현서면,37530340,36.2391852753424,128.91833005351646
373,20230701,안덕면,37530350,36.31899371189494,128.98504838516652
374,20230701,파천면,37530360,36.451775694144345,129.02248855640153
375,20230701,반송1동,21090720,35.22117717041771,129.1372528955414
376,20230701,우1동,21090730,35.16134450197805,129.15538245077528
377,20230701,우2동,21090740,35.17365774600891,129.1394375215451
378,20230701,산동면,35050410,35.491303795326,127.47628585522097
379,20230701,이백면,35050420,35.43409075575832,127.45313749470543
380,20230701,인월면,35050430,35.46908254015895,127.6100459291116
381,20230701,아영면,35050440,35.50283297284482,127.59475219230521
382,20230701,산내면,35050450,35.39491403530469,127.6026606353164
383,20230701,만경읍,35060110,35.85861484351186,126.83298701969915
384,20230701,죽산면,35060310,35.76769993171819,126.82401257927079
385,20230701,백산면,35060320,35.8459534153088,126.88505495822264
386,20230701,용지면,35060330,35.853620876215146,126.98037259607327
387,20230701,백구면,35060340,35.893469021368816,126.95741513339931
388,20230701,부량면,35060350,35.735943542879575,126.83593355481204
389,20230701,교1동,32030550,37.76251019582068,128.88338678877778
390,20230701,용당1동,36010510,34.806581646569605,126.39289052856219
391,20230701,남양동,38060590,34.975367461872466,128.05196389707794
392,20230701,진영읍,38070110,35.29420527985756,128.7319922616409
393,20230701,주촌면,38070320,35.23287087127597,128.8183315340002
394,20230701,부곡3동,21110590,35.24493246384566,129.10849247944824
395,20230701,선두구동,21110640,35.28133539340072,129.10904234315325
396,20230701,청룡노포동,21110670,35.28481376214666,129.0868928188249
397,20230701,구서1동,21110690,35.25010164944622,129.09105875668865
398,20230701,금사회동동,21110730,35.22795505035519,129.1188897595223
399,20230701,연산2동,21130560,35.17297975670096,129.08132359495167
400,20230701,연산6동,21130600,35.17253443886809,129.0876397565247
401,20230701,부암1동,21050640,35.16521485703189,129.04788049085082
402,20230701,부암3동,21050660,35.17099127865144,129.03734016092656
403,20230701,망미1동,21140540,35.17279802462372,129.10114033539838
404,20230701,주례2동,21150610,35.152106639408956,129.01085674087582
405,20230701,논현1동,11230520,37.51273148129061,127.02833080952273
406,20230701,광평동,37050660,36.10959212815729,128.35786991513243
407,20230701,봉명1동,33043550,36.6395665397843,127.45930927897376
408,20230701,봉명2·송정동,33043560,36.64793861827001,127.45316611815625
409,20230701,강서1동,33043570,36.62033019952217,127.40089874556502
410,20230701,양포동,37050720,36.13622012879176,128.42051092053177
411,20230701,화산면,37070330,36.02760092715171,128.85589794801314
412,20230701,기장읍,21510110,35.21625332459487,129.2312139813285
413,20230701,장안읍,21510120,35.33297188058733,129.26929835007945
414,20230701,정관읍,21510130,35.34356776500013,129.1676891676929
415,20230701,일광읍,21510111,35.27293345776863,129.25129954457938
416,20230701,철마면,21510330,35.28823083528059,129.1464195641112
417,20230701,낙동면,37080330,36.35419683358026,128.2290619057742
